Title: Mg II Absorbers in High-Resolution Quasar Spectra. I. Voigt Profile Models 
Authors: Churchill C.W., Evans J.L., Stemock B., Nielsen N.M., Kacprzak G.G., 
    Murphy M.T. 
Table: List of QSO spectra
================================================================================
Byte-by-byte Description of file: apjabbb34t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 16 A16    ---        QSO     QSO name in J2000 format
  18- 43 A26    ---        NED     QSO name resolved in NED (https://ned.ipac.caltech.edu)
  45- 69 A25    ---        Simbad  QSO name resolved in Simbad (http://simbad.u-strasbg.fr/simbad/)
  71- 75 F5.3   ---        zem     QSO emission redshift
  77- 80 I4     0.1nm      wmin    QSO spectrum minimum wavelength, (angstroms)
  82- 86 I5     0.1nm      wmax    QSO spectrum maximum wavelength, (angstroms)
  88- 97 A10    ---        Fac     QSO spectrum observation facility 
J121930+494051   SBS 1217+499               QSO B1217+4957            2.693 3112  4640 HIRES      
J122310-181642   CTS 0467                   CTS J09.04                2.16  3282  6654 UVES       
J122607+173648   LBQS 1223+1753             QSO B1223+178             2.936 3870  7180 HIRES      
J122527+223513   FBQS J122527.3+223512      Ton 1530                  2.048 3810  6267 HIRES      
J122824+312838   [HB89] 1225+317            Ton 618                   2.219 3031  8181 HIRES      
J122607+173650   LBQS 1223+1753             QSO B1223+1753            2.936 3291 10087 UVES       
J123200-022404   LBQS 1229-0207             PKS 1229-02               1.044 3291  6650 UVES       
J123437+075843   [HB89] 1232+082            QSO B1232+0815            2.567 3291  6651 UVES       
J124410+172104   PG 1241+176                PG 1241+176               1.273 3766  6190 HIRES      
J124714+312640   WISEA J124714.44+312641.0  QSO B1244+3143            2.96  4018  6467 HIRES      
J124524-000938   [HB89] 1242+001            UM 516                    2.09  3281  6655 UVES       
J124604-073046   [HB89] 1243-072            PKS 1243-072              1.286 3044  6809 UVES       
J124913-055918   [HB89] 1246-057            QSO B1246-057             2.247 3845  6296 HIRES      
J124924-023339   [HB89] 1246-057            QSO B1246-0217            2.117 3282  9466 UVES       
J125048+395140   PG 1248+401                PG 1248+401               1.03  3765  6190 HIRES      
J125659+042734   PG 1254+047                PG 1254+047               1.024 3766  6190 HIRES      
J131011+460124   SBS 1307+462               HS 1307+4617              2.134 3026  5075 HIRES      
J131956+272808   TON 0153                   Ton 153                   1.022 3810  6249 HIRES      
J132323-002155   LBQS 1320-0006             QSO B1320-0006            1.392 3282  6655 UVES       
J133141+410158   PG 1329+412                PG 1329+412               1.938 3765  5790 HIRES      
J133335+164903   [HB89] 1331+170            PB 3977                   2.084 3042 10086 HIRES+UVES 
J134002+110630   [HB89] 1337+113            QSO B1337+1121            2.926 3499 10200 HIRES+UVES 
J134427-103541   WISEA J134427.06-103541.7  HE 1341-1020              2.134 3041 10087 UVES       
J134916-033715   BRI 1346-0322              BRI B1346-03              3.99  5896  8345 HIRES      
J135038-251216   WISE J135038.90-251216.0   HE 1347-2457              2.534 3041 10087 HIRES+UVES 
J135256-441240   PKS 1349-439               PKS 1349-439              0.05  3282 10416 UVES       
J135646-110128   PKS B1354-107              PKS 1354-107              3.011 3752 10087 UVES       
J135704+191906   PKS 1354+19                PKS 1354+195              0.72  3766  6190 HIRES      
J140039+112022   [HB89] 1358+115            QSO B1358+1134            2.571 3517  5917 HIRES      
J142326+325220   MRK 0679                   Mrk 679                   1.904 3818  6290 HIRES      
J142656+602551   SBS 1425+606               QSO B1425+6039            3.197 3724  7975 HIRES      
J142756-420619   [HB89] 1424-418            PKS 1424-41               1.522 3282 10489 UVES       
J142906+011705   MRK 1383                   Mrk 1383                  0.086 3285  6655 UVES       
J143229-010614B  LBQS 1429-0053B            QSO B1429-0053B           2.076 3284 10451 UVES       
J143229-010616A  LBQS 1429-0053A            QSO B1429-0053A           2.086 3285 10429 UVES       
J143649-161341   WISEA J143649.61-161341.2  HE 1434-1600              0.144 3292  6650 UVES       
J143912+295447   WISEA J143912.33+295448.0  QSO B1437+3007            3.004 3578  6460 HIRES      
J144453+291905   WISE J144453.70+291905.0   QSO B1442+295             2.638 3625  6151 HIRES      
J144331+272436   WISEA J144331.18+272436.9  PSS J1443+2724            4.42  4779  9182 HIRES+UVES 
J144653+011356   LBQS 1444+0126             QSO B1444+0126            2.206 3235  6650 UVES       
J145102-232930   [HB89] 1448-232            PKS 1448-232              2.215 3041 10086 UVES       
J145418+121053   [HB89] 1451+123            QSO B1451+1223            3.246 3635  9402 UVES       
J151352+085555   WISE J151352.53+085555.7   QSO B1511+091             2.888 3643  6193 HIRES      
J154420+591227   HS 1543+5921               QSO B1543+5921            0.807 3693  6093 HIRES      
J155152+191104   WISE J155152.46+191104.1   HS 1549+1919              2.843 3640  6040 HIRES      
J155103+090850   [HB89] 1548+092            QSO B1548+092             2.739 4560  5791 HIRES      
J160455+381214   WISE J160455.40+381201.6   QSO B1603+3820            2.51  3119  4640 HIRES      
J162439+234512   3C 336                     3C 336.0                  0.927 3292  6550 UVES       
J162645+642654   WISE J162645.60+642655.0   QSO B1626+6433            2.32  3001  6151 HIRES      
J163145+115602   [HB89] 1629+120            PKS 1629+120              1.795 3045  6810 UVES       
J163429+703133   [HB89] 1634+706            PG 1634+706               1.337 3001  6672 HIRES      
J164656+551446   WISE J164656.30+551446.0   PSS J1646+5514            4.037 4526  8075 HIRES      
J170100+641209   WISE J170100.60+641208.0   HS 1700+6416              2.741 3211  6111 HIRES      
J173302-130449   [HB89] 1730-130            NRAO 530                  0.902 3283 10428 UVES       
J174358-035004   [HB89] 1741-038            PKS 1741-03               1.054 3283 10428 UVES       
J175746+753916   WISEA J175746.35+753916.1  QSO B1759+7539            3.05  3504  7599 HIRES      
J182402+104424   PKS 1821+10                PKS 1821+107              1.36  4032  6382 HIRES      
J185230+401907   [HB89] 1850+402            QSO B1850+402             2.12  3807  7756 HIRES      
J194025-690756   [HB89] 1935-692            PKS 1935-692              3.154 4781  6811 UVES       
J194454+770552   HS 1946+7658               QSO B1946+769             2.994 3852  6451 HIRES      
J200324-325144   [HB89] 2000-330            PKS 2000-330              3.773 3289 10088 UVES       
J204719-163905   [HB89] 2044-168            PKS 2044-168              1.932 3282  9907 UVES       
J213135-120704   [HB89] 2128-123            PHL 1598                  0.501 3632  6031 HIRES      
J212912-153841   [HB89] 2126-158            PKS 2126-15               3.268 3289 10088 UVES       
J213302-464026   [VCV2001] J213302.1-464027 QSO B2129-4653            2.23  3283  6653 UVES       
J213314-464030   [VCV2001] J213314.2-464031 [VV96] J213314.2-464031   2.204 3283  6653 UVES       
J214225-442018   [MWA91] 2139-4434          QSO B2139-4434            3.23  4132  9394 UVES       
J214805+065738   [HB89] 2145+067            PKS 2145+06               0.999 3283 10430 HIRES+UVES 
J215501-092224   FBQS J2155-0922            PHL 1811                  0.19  3293  6653 UVES       
J220734-403655   [HB89] 2204-408            QSO B2204-408             3.155 3287  6807 UVES       
J220852-194359   LBQS 2206-1958             QSO B2206-1958            2.558 3043 10088 HIRES+UVES 
J221653-445156   LCRS B221349.8-450657      RX J2216.9-4451           0.135 3284  6650 UVES       
J222006-280323   WISE J222006.77-280323.9   HE 2217-2818              2.406 3044 10086 UVES       
J222826-400957   [HB89] 2225-404            QSO B2225-404             2.02  3284  6650 UVES       
J223409+000002   LBQS 2231-0015             QSO B2231-002             3.029 3975  6432 HIRES      
J223235+024755   LBQS 2230+0232             QSO B2230+0232            2.147 3044 10086 HIRES+UVES 
J223619+132620   [HB89] 2233+131            QSO B2233+131             3.298 4898  7303 HIRES      
J223953-055219   WISE J223953.60-055219.0   QSO B2237-0608            4.558 4934  8784 HIRES      
J224708-601545   WISEA J224708.91-601545.3  QSO B2243-6031            3.005 3047 10087 UVES       
J230001-341319   CTS 0393                   CTS A12.03                2.2   3283  6652 UVES       
J230445+031146   [HB89] 2302+029            PG 2302+029               1.052 3332  6002 HIRES      
J231646-404120   [HB89] 2314-409            PKS 2314-409              2.448 3293  6648 UVES       
J232059-295521   [RKF2011] 287              2QZ J232059.3-295521      2.317 3047 10428 UVES       
J232121-294350   [RKF2011] 289              2QZ J232121.2-294351      2.184 3046 10429 UVES       
J232820+002238   WISEA J232820.37+002238.2  QSO B2325+0006            1.308 3283  6655 UVES       
J234023-005326   WISEA J234022.66-005326.4  PMN J2340-0053            2.086 3912  6304 HIRES      
J234628+124859   [HB89] 2343+125            QSO B2343+125             2.515 3606  8906 HIRES      
J234646+124527   [HB89] 2344+125            QSO B2344+125             2.763 3610  6010 HIRES      
J234451+343349   B2 2342+34                 QSO B2342+34              3.053 4000 10197 HIRES      
J234625+124743   [HB89] 2343+125            QSO B2343+1231            2.574 3282  6651 UVES       
J234819+005721A  [HB89] 2345+006A           QSO B2345+007A            2.152 3285  6651 UVES       
J234825+002040   [HB89] 2345+000            BG CFH                    2.65  3282  6650 UVES       
J235034-432559   WISE J235034.30-432600.0   CTS C15.05                2.885 3045 10086 UVES       
J235057-005209   UM 184                     UM 184                    3.024 3287  7493 HIRES+UVES 
J235129-142756   WISEA J235129.81-142756.8  HE 2348-1444              2.933 3845  6296 HIRES      
